Model,OOS Mean IC,ICIR,Hit Rate,N_months,Time(s),vs_Random_p
XGBoost,-0.02724090100550112,-0.1541040984373276,0.40425531914893614,47,6.914599180221558,0.8127614732511907
OLS,-0.027420245742042104,-0.10574282881842756,0.40425531914893614,47,1.5387811660766602,0.7236034017100483
Equal-Z,0.022246073236221495,0.11330358970464516,0.5531914893617021,47,0.9861555099487305,0.1759504353540371
Random,-0.005021916967419194,-0.1027184567935653,0.48936170212765956,47,0.9641883373260498,
