Method,OOS Return,Sharpe,IR,MaxDD,Vol
Optimizer,0.12747592503438288,0.7512930662082371,0.6827657840402017,-0.23066617335563866,0.1696753647384923
Signal-Wt,0.10687508804369594,0.670669534503085,0.02801457032402659,-0.2401920201615395,0.1593558116858286
Top-Q EW,0.052099619322471646,0.2548159674255,-0.5998138571622949,-0.3114740884745939,0.2044597905258975
Benchmark,0.10676363818056589,0.6808250526244286,,-0.23247608269333608,0.15681508453458917
